"id_unidad","codigo","descripcion","factor_conversion_mbtu","id_combustible","es_activo","created_at","updated_at"
1,"MMBtu","Millón de Unidades Térmicas Británicas","1.00000000",1,1,"2026-01-13 15:51:22.937471","2026-01-13 15:51:22.937471"
2,"GJ","Giga Joule (0.9478 MMBtu)","0.94781712",1,1,"2026-01-13 15:51:22.937471","2026-01-13 15:51:22.937471"
3,"Litro","Litro de Diesel","0.03600000",2,1,"2026-01-13 15:51:22.937471","2026-01-13 15:51:22.937471"
4,"m3","Metro cúbico de Diesel","36.00000000",2,1,"2026-01-13 15:51:22.937471","2026-01-13 15:51:22.937471"
5,"Barril","Barril de 42 galones","6.28700000",3,1,"2026-01-13 15:51:22.937471","2026-01-13 15:51:22.937471"
