id_unidad_medida,codigo,descripcion,factor_conversion_mbtu,id_combustible,es_activo,created_at,updated_at,observaciones,archivo_origen,fecha_carga,usuario_carga
281d6bcb-77f6-457d-af2b-c8dba07f38fa,Litro,Litro de Diesel,0.03600000,00b73cac-a0c0-4c26-84b1-ff342362199b,true,2026-01-16 12:20:28.637449,2026-01-16 12:20:28.637449,,,2026-06-04 18:12:33.579968,
3eb2cdf0-c617-4656-b2b7-a01deb1de932,MMBtu,Millón de Unidades Térmicas Británicas,1.00000000,9693a1d1-4b88-4d73-8138-b46b21e7a72c,true,2026-01-16 12:20:28.637449,2026-01-16 12:20:28.637449,,,2026-06-04 18:12:33.579968,
5a3d193f-cb2b-40df-b401-d786b9e25ef8,GJ,Giga Joule (0.9478 MMBtu),0.94781712,9693a1d1-4b88-4d73-8138-b46b21e7a72c,true,2026-01-16 12:20:28.637449,2026-01-16 12:20:28.637449,,,2026-06-04 18:12:33.579968,
7f43757b-535f-456c-b5ab-2e1baf1a5b37,Barril,Barril de 42 galones,6.28700000,ef25f8f8-6193-4ccd-a9fd-25cb325a4343,true,2026-01-16 12:20:28.637449,2026-01-16 12:20:28.637449,,,2026-06-04 18:12:33.579968,
c3200227-4049-41e6-90f6-31321ccad102,m3,Metro cúbico de Diesel,36.00000000,00b73cac-a0c0-4c26-84b1-ff342362199b,true,2026-01-16 12:20:28.637449,2026-01-16 12:20:28.637449,,,2026-06-04 18:12:33.579968,
